ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11039143,JA371714,11-01-2015 00:01,011XX N KOSTNER AVE,1585,SEX OFFENSE,OTHER,RESIDENCE,FALSE,FALSE,1111,11,37,23,17,,,2015,08-02-2017 15:54,,,
11039147,JA373121,01-01-2015 00:01,020XX N LONG AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,FALSE,FALSE,2515,25,37,19,17,,,2015,08-02-2017 15:54,,,
11039239,JA373435,04/14/2014 12:01:00 AM,031XX N SPRINGFIELD AVE,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,FALSE,FALSE,2523,25,31,21,2,,,2014,08-02-2017 15:54,,,
10238336,HY426064,09/15/2015 06:00:00 PM,048XX S THROOP ST,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,933,9,20,61,6,1168479,1872627,2015,02-10-2018 15:50,41.80601636,-87.6576044,"(41.806016361, -87.657604399)"
11039144,JA371577,01-01-2016 00:01,080XX S MARQUETTE AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,TRUE,422,4,7,46,2,,,2016,08-05-2017 15:48,,,
9648188,HX215795,04-08-2014 14:47,050XX W LAWRENCE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE,TRUE,FALSE,1623,16,45,11,18,,,2014,08-05-2017 15:48,,,
11039129,JA371623,01-01-2014 00:01,049XX W POTOMAC AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,TRUE,2533,25,37,25,20,,,2014,08-09-2017 15:49,,,
11039131,JA371830,12-04-2015 00:01,008XX N ST LOUIS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,FALSE,1121,11,27,23,08B,,,2015,08-09-2017 15:49,,,
11039145,JA372904,01-01-2015 00:01,071XX S FRANCISCO AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,TRUE,831,8,18,66,2,,,2015,01/16/2018 04:00:46 PM,,,
10238430,HY425918,09/15/2015 11:00:00 PM,015XX N KEDZIE AVE,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,FALSE,1422,14,26,23,2,1154748,1909875,2015,02-10-2018 15:50,41.90851427,-87.70696837,"(41.908514273, -87.706968373)"
11233444,JB155469,05/15/2017 11:30:00 AM,080XX S EBERHART AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,FALSE,FALSE,631,6,6,44,11,,,2017,02/18/2018 03:47:38 PM,,,
11046469,JA381558,08-06-2017 04:00,022XX S DR MARTIN LUTHER KING JR DR,890,THEFT,FROM BUILDING,HOTEL/MOTEL,FALSE,FALSE,132,1,2,33,6,,,2017,08/25/2017 03:48:04 PM,,,
10238434,HY426228,08/25/2015 01:15:00 PM,061XX N HOYNE AVE,810,THEFT,OVER $500,APARTMENT,FALSE,FALSE,2413,24,40,2,6,1161209,1940913,2015,09/24/2015 07:47:58 PM,41.99355232,-87.68236779,"(41.99355232, -87.682367785)"
11652168,JC220540,07-05-2017 10:00,034XX W PETERSON AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,FALSE,FALSE,1711,17,39,13,11,,,2017,04-12-2019 16:08,,,
11048968,JA384014,08-06-2017 14:45,026XX N WAYNE AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,1932,19,32,7,6,,,2017,08/13/2017 03:52:59 PM,,,
11051926,JA387924,01-01-2014 00:01,070XX S LAFLIN ST,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,TRUE,734,7,17,67,2,,,2014,03/14/2019 03:58:00 PM,,,
11652070,JC220788,06-11-2014 12:00,057XX S PRAIRIE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,232,2,20,40,11,,,2014,04-12-2019 16:08,,,
11652679,JC221372,03/15/2017 12:00:00 AM,007XX S KEDZIE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,1134,11,24,27,11,,,2017,04-12-2019 16:08,,,
11051923,JA388006,08/25/2015 12:01:00 AM,014XX N LAVERGNE AVE,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,FALSE,2533,25,37,25,20,,,2015,08/13/2017 03:52:59 PM,,,
11051925,JA387941,01-01-2012 00:01,052XX N SHERIDAN RD,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,FALSE,2023,20,48,77,2,,,2012,08/13/2017 03:52:59 PM,,,
11051950,JA388053,06/15/2015 12:01:00 AM,053XX W CONGRESS PKWY,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,FALSE,FALSE,1522,15,29,25,20,,,2015,08/13/2017 03:52:59 PM,,,
11051933,JA388030,09-02-2015 00:01,055XX W GLADYS AVE,1590,SEX OFFENSE,ATT AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,FALSE,FALSE,1522,15,29,25,17,,,2015,08/22/2017 03:53:44 PM,,,
11652549,JC220440,01-01-2017 00:01,048XX N MILWAUKEE AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,WAREHOUSE,FALSE,FALSE,1623,16,45,11,11,,,2017,04-12-2019 16:08,,,
11052294,JA387470,08-04-2017 09:00,0000X E OAK ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,,FALSE,FALSE,1824,18,42,8,11,,,2017,08/13/2017 03:52:59 PM,,,
11052313,JA387525,08-06-2017 01:00,0000X W ILLINOIS ST,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1831,18,42,8,6,,,2017,08/13/2017 03:52:59 PM,,,
11651748,JC220270,11/26/2018 05:00:00 PM,025XX W ARMITAGE AVE,610,BURGLARY,FORCIBLE ENTRY,CONSTRUCTION SITE,FALSE,FALSE,1431,14,1,22,5,,,2018,04-12-2019 16:08,,,
